"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field11","Field12","Field13","Field14","Field15","Field16","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field10"
"","6","P","P","P","PL","PL","PL","","6","E","E","E","I","I","I","","6","NSH","NSH","NSH","NSH","NT"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","PL","PL","PL","PL","PR","PR","","1","I","I","I","I","I","I","","1","NT","NT","NTS","NTS","NTS"
"","2","PR","Q","Q","QL","QL","QR","","2","I","I","I","I","I","I","","2","NZ","NZ","NZ","NZ","NZ"
"4","3","QR","R","R","R","R","R","","3","I","I","I","I","I","I","","3","NZH","NZH","NZH","NZH","NZH"
"","4","S","S","S","S","S","S","","4","I","I","I","I","I","I","","4","P","P","PL","PL","PL"
"","5","S","SH","SH","SH","SH","SH","","5","I","I","I","I","I","I","","5","PL","PL","PL","PR","PR"
"","6","SH","SH","SH","SHT","SHT","SHT","","6","I","I","IA","IA","IA","IA","","6","PR","PR","PR","PR","Q"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","SHT","SHT","SHT","T","T","T","","1","IA","IA","IA","IA","IA","IA","","1","QL","QL","QR","QR","R"
"","2","T","T","ST","ST","ST","ST","","2","IA","IA","IA","IA","IA","IA","","2","R","R","R","SH","SH"
"5","3","ST","ST","ST","TL","TL","TL","","3","IA","IA","IA","IA","IA","IA","","3","SH","SH","SH","SH","T"
"","4","TL","TL","TL","TL","TL","TL","","4","IA","IA","IA","IA","IA","IA","","4","T","T","TS","TS","TS"
"","5","TL","TS","TS","TS","V","V","","5","IE","IE","IE","IE","IE","IE","","5","TS","TS","TS","TL","TL"
"","6","V","V","V","VL","VL","VR","","6","IE","IE","IE","IE","IE","IE","","6","TL","TL","TL","TL","TL"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","VR","Y","Y","Y","Z","Z","","1","IE","IE","IE","IE","IE","IE","","1","V","V","V","V","V"
"","2","Z","Z","Z","ZD","ZD","ZD","","2","IE","IE","IE","IE","IE","IE","","2","VL","VL","VL","VR","VR"
"6","3","ZD","ZD","ZD","ZD","ZD","ZD","","3","IE","IE","IE","IE","O","O","","3","VR","VR","Z","Z","Z"
"","4","ZD","ZH","ZH","ZH","ZH","ZH","","4","O","O","O","O","O","O","","4","Z","Z","Z","Z","Z"
"","5","ZH","ZH","ZHD","ZHD","ZHD","ZHD","","5","O","O","O","O","O","O","","5","ZH","ZH","ZH","ZH","ZH"
"","6","ZHD","ZHD","ZHD","ZHD","ZHD","ZHD","","6","R","R","R","R","R","R","","6","`","`","`","`","`"
